Panel_ID,Site,Age,Site_Age,Algae_brown,Algae_coralline,Algae_green,Algae_turf,Algae_red,Bryozoa_encrust,Bryozoa_arborescent,Bryozoa_ctenosome,Amphipod_tubes,Anemones,Hydroids,Barnacles,Ascidian_solitary,Ascidian_colonial,Mussels,Oysters,Crepidula,Bivalves_other,Polychaetes_sabellids,Polychaetes_serpulids,Polychaetes_other,Sponges,Forams,Open_space,Sediment
2021_PAN-BDT_30d_06,PAN-BDT,30d,PAN-BDT_30d,0,1,0,3,0,0,0,0,0,0,2,1,8,14,0,1,0,0,0,1,0,0,0,69,0
2021_PAN-BDT_60d_07,PAN-BDT,60d,PAN-BDT_60d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2021_PAN-BDT_60d_08,PAN-BDT,60d,PAN-BDT_60d,0,0,0,0,0,14,0,0,0,0,2,5,12,49,0,8,0,0,0,2,0,2,0,6,0
2021_PAN-BDT_60d_09,PAN-BDT,60d,PAN-BDT_60d,0,0,0,0,0,9,0,0,0,1,2,0,4,15,0,11,0,12,1,5,0,8,0,31,1
2021_PAN-BDT_60d_10,PAN-BDT,60d,PAN-BDT_60d,0,0,0,0,0,1,0,0,0,0,9,0,9,19,0,0,0,3,4,12,0,10,0,32,1
2021_PAN-BDT_60d_11,PAN-BDT,60d,PAN-BDT_60d,0,0,0,0,0,0,1,0,1,0,3,1,7,27,0,12,0,7,0,6,0,11,0,24,0
2021_PAN-BDT_60d_12,PAN-BDT,60d,PAN-BDT_60d,0,0,0,0,0,1,0,0,0,0,2,4,15,48,0,13,0,0,0,5,0,5,0,7,0
2021_PAN-BDT_90d_13,PAN-BDT,90d,PAN-BDT_90d,0,0,0,0,0,3,0,0,0,0,0,0,42,33,0,12,0,0,0,5,0,2,0,3,0
2021_PAN-BDT_90d_14,PAN-BDT,90d,PAN-BDT_90d,0,0,0,0,0,24,0,0,0,0,11,5,34,7,0,15,0,0,0,0,0,3,0,1,0
2021_PAN-BDT_90d_15,PAN-BDT,90d,PAN-BDT_90d,0,0,0,0,0,9,0,0,0,0,5,3,24,49,0,4,0,0,0,0,0,6,0,0,0
2021_PAN-BDT_90d_16,PAN-BDT,90d,PAN-BDT_90d,0,0,0,0,0,32,0,0,0,0,3,0,10,11,0,0,0,4,0,6,0,1,0,33,0
2021_POR-MAD_30d_01,POR-MAD,30d,POR-MAD_30d,0,0,0,0,0,1,19,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,75,0
2021_POR-MAD_30d_02,POR-MAD,30d,POR-MAD_30d,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,78,0
2021_POR-MAD_30d_03,POR-MAD,30d,POR-MAD_30d,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,72,0
2021_POR-MAD_30d_04,POR-MAD,30d,POR-MAD_30d,0,0,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,8,0,1,0,57,0
2021_POR-MAD_30d_05,POR-MAD,30d,POR-MAD_30d,0,0,0,0,0,1,3,0,0,0,0,1,0,39,0,0,0,0,0,5,0,0,0,51,0
2021_POR-MAD_30d_06,POR-MAD,30d,POR-MAD_30d,0,0,0,0,0,1,0,0,2,0,0,0,0,19,0,0,0,0,0,5,0,0,0,73,0
2021_POR-MAD_60d_07,POR-MAD,60d,POR-MAD_60d,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,79,0
2021_POR-MAD_60d_08,POR-MAD,60d,POR-MAD_60d,0,0,0,0,0,3,14,0,1,0,0,0,0,47,0,0,0,0,0,14,0,0,0,21,0
2021_POR-MAD_60d_09,POR-MAD,60d,POR-MAD_60d,0,0,0,0,0,1,18,0,0,0,0,0,0,9,0,0,0,0,0,11,0,2,0,59,0
2021_POR-MAD_60d_10,POR-MAD,60d,POR-MAD_60d,0,0,0,0,1,3,3,0,2,0,0,0,0,21,0,0,0,0,0,13,0,3,0,54,0
2021_POR-MAD_60d_11,POR-MAD,60d,POR-MAD_60d,0,0,0,0,0,1,1,0,4,0,0,0,0,29,0,0,0,0,0,7,0,0,0,58,0
2021_POR-MAD_60d_12,POR-MAD,60d,POR-MAD_60d,1,0,0,0,0,1,2,0,4,0,0,0,0,16,0,0,0,0,0,11,0,0,0,65,0
2021_POR-MAD_90d_13,POR-MAD,90d,POR-MAD_90d,0,0,0,0,0,2,16,0,3,0,0,0,0,12,0,0,0,0,1,18,0,15,0,33,0
2021_POR-MAD_90d_14,POR-MAD,90d,POR-MAD_90d,0,0,0,0,0,5,6,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,69,0
2021_POR-MAD_90d_15,POR-MAD,90d,POR-MAD_90d,0,0,0,0,0,1,3,0,0,0,0,1,0,66,0,0,0,0,1,8,0,1,0,19,0
2021_POR-MAD_90d_16,POR-MAD,90d,POR-MAD_90d,0,0,0,0,0,20,7,0,0,0,0,0,0,37,0,0,0,0,0,8,0,1,0,27,0
2021_POR-MAD_90d_17,POR-MAD,90d,POR-MAD_90d,0,0,0,0,0,5,7,0,1,0,0,0,0,43,0,0,0,0,0,21,0,1,0,22,0
2021_POR-MAD_90d_18,POR-MAD,90d,POR-MAD_90d,0,0,0,0,1,2,5,0,0,0,0,0,0,66,0,0,0,0,0,9,0,0,0,17,0
2021_USA-SBH_30d_01,USA-SBH,30d,USA-SBH_30d,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,86,0
2021_USA-SBH_30d_02,USA-SBH,30d,USA-SBH_30d,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,86,0
2021_USA-SBH_30d_03,USA-SBH,30d,USA-SBH_30d,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,89,0
2021_USA-SBH_30d_04,USA-SBH,30d,USA-SBH_30d,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,92,0
2021_USA-SBH_30d_05,USA-SBH,30d,USA-SBH_30d,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,89,0
2021_USA-SBH_30d_06,USA-SBH,30d,USA-SBH_30d,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,91,0
2021_USA-SBH_60d_07,USA-SBH,60d,USA-SBH_60d,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0
2021_USA-SBH_60d_08,USA-SBH,60d,USA-SBH_60d,0,0,0,0,0,24,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,26,0
2021_USA-SBH_60d_09,USA-SBH,60d,USA-SBH_60d,0,0,0,0,0,37,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,34,0
2021_USA-SBH_60d_10,USA-SBH,60d,USA-SBH_60d,0,0,0,0,0,33,4,0,0,0,5,0,0,0,0,0,0,0,0,15,0,3,0,40,0
2021_USA-SBH_60d_11,USA-SBH,60d,USA-SBH_60d,0,0,0,0,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,29,0
2021_USA-SBH_60d_12,USA-SBH,60d,USA-SBH_60d,0,0,0,0,1,26,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,48,0
2021_USA-SBH_90d_13,USA-SBH,90d,USA-SBH_90d,0,0,0,0,0,16,53,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,19,0
2021_USA-SBH_90d_14,USA-SBH,90d,USA-SBH_90d,0,0,0,0,0,40,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021_USA-SBH_90d_15,USA-SBH,90d,USA-SBH_90d,0,0,0,0,0,50,24,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,7,0
2021_USA-SBH_90d_16,USA-SBH,90d,USA-SBH_90d,0,0,0,0,0,40,32,0,0,0,8,0,4,0,0,0,0,0,0,10,0,0,0,6,0
2021_USA-SBH_90d_17,USA-SBH,90d,USA-SBH_90d,0,0,0,0,0,21,55,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,0,16,0
2021_USA-SBH_90d_18,USA-SBH,90d,USA-SBH_90d,0,0,0,0,0,13,78,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,1,0
2021_ALD-PIER_30d_01,USA-ALD-PIER,30d,USA-ALD-PIER_30d,0,0,0,0,0,0,0,54,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,26,0
2021_ALD-PIER_30d_02,USA-ALD-PIER,30d,USA-ALD-PIER_30d,0,0,0,0,0,0,0,55,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,32,0
2021_ALD-PIER_30d_03,USA-ALD-PIER,30d,USA-ALD-PIER_30d,0,0,0,0,0,0,0,67,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0
2021_ALD-PIER_30d_04,USA-ALD-PIER,30d,USA-ALD-PIER_30d,0,0,0,0,0,0,0,67,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25,0
2021_ALD-PIER_30d_05,USA-ALD-PIER,30d,USA-ALD-PIER_30d,0,0,0,0,0,0,0,69,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0
2021_ALD-PIER_30d_06,USA-ALD-PIER,30d,USA-ALD-PIER_30d,0,0,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0
2021_ALD-PIER_60d_07,USA-ALD-PIER,60d,USA-ALD-PIER_60d,0,0,0,0,0,0,0,67,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,19,0
2021_ALD-PIER_60d_08,USA-ALD-PIER,60d,USA-ALD-PIER_60d,0,0,0,0,0,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021_ALD-PIER_60d_09,USA-ALD-PIER,60d,USA-ALD-PIER_60d,0,0,0,0,0,0,0,93,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
2021_ALD-PIER_60d_10,USA-ALD-PIER,60d,USA-ALD-PIER_60d,0,0,0,0,0,0,0,75,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,12,0
2021_ALD-PIER_60d_11,USA-ALD-PIER,60d,USA-ALD-PIER_60d,0,0,0,0,0,0,0,90,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0
2021_ALD-PIER_60d_12,USA-ALD-PIER,60d,USA-ALD-PIER_60d,0,0,0,0,0,0,0,77,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,8,0
2021_ALD-PIER_90d_13,USA-ALD-PIER,90d,USA-ALD-PIER_90d,0,0,0,0,0,0,0,64,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,30,0
2021_ALD-PIER_90d_14,USA-ALD-PIER,90d,USA-ALD-PIER_90d,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,36,0
2021_ALD-PIER_90d_15,USA-ALD-PIER,90d,USA-ALD-PIER_90d,0,0,0,0,0,0,0,70,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,23,0
2021_ALD-PIER_90d_16,USA-ALD-PIER,90d,USA-ALD-PIER_90d,0,0,0,0,0,0,0,81,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,15,0
2021_ALD-PIER_90d_17,USA-ALD-PIER,90d,USA-ALD-PIER_90d,0,0,0,0,0,0,0,53,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,39,0
2021_ALD-PIER_90d_18,USA-ALD-PIER,90d,USA-ALD-PIER_90d,0,0,0,0,0,0,0,75,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,21,0
2021_USA-CBB_30d_01,USA-CBB,30d,USA-CBB_30d,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
2021_USA-CBB_30d_02,USA-CBB,30d,USA-CBB_30d,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,94,0
2021_USA-CBB_30d_03,USA-CBB,30d,USA-CBB_30d,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,92,0
2021_USA-CBB_30d_04,USA-CBB,30d,USA-CBB_30d,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,87,0
2021_USA-CBB_30d_05,USA-CBB,30d,USA-CBB_30d,0,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,92,0
2021_USA-CBB_30d_06,USA-CBB,30d,USA-CBB_30d,0,0,0,0,0,7,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,85,0
2021_USA-CBB_60d_07,USA-CBB,60d,USA-CBB_60d,0,0,0,0,0,2,36,0,0,0,13,0,0,40,0,0,0,0,0,0,0,0,0,9,0
2021_USA-CBB_60d_08,USA-CBB,60d,USA-CBB_60d,0,0,0,0,0,2,58,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,18,0
2021_USA-CBB_60d_09,USA-CBB,60d,USA-CBB_60d,0,0,0,0,0,0,57,0,0,0,6,0,0,36,0,0,0,0,0,0,0,0,0,1,0
2021_USA-CBB_60d_10,USA-CBB,60d,USA-CBB_60d,0,0,0,0,0,0,40,0,0,0,11,0,7,23,0,0,0,0,0,0,0,0,0,19,0
2021_USA-CBB_60d_11,USA-CBB,60d,USA-CBB_60d,0,0,0,0,1,0,33,0,0,0,6,0,5,38,0,0,0,0,0,0,0,4,0,12,1
2021_USA-CBB_60d_12,USA-CBB,60d,USA-CBB_60d,0,0,0,0,0,3,63,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17,1
2021_USA-CBB_90d_13,USA-CBB,90d,USA-CBB_90d,0,0,0,0,0,0,66,0,0,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0
2021_USA-CBB_90d_14,USA-CBB,90d,USA-CBB_90d,0,0,0,0,0,2,77,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,1,0
2021_USA-CBB_90d_15,USA-CBB,90d,USA-CBB_90d,0,0,0,0,0,0,62,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0
2021_USA-CBB_90d_16,USA-CBB,90d,USA-CBB_90d,0,0,0,0,0,0,86,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2021_USA-CBB_90d_17,USA-CBB,90d,USA-CBB_90d,0,0,0,0,0,2,66,0,2,0,0,0,0,27,0,0,0,0,0,0,0,2,0,1,0
2021_USA-CBB_90d_18,USA-CBB,90d,USA-CBB_90d,0,0,0,0,0,0,85,0,1,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0
2021_USA-HIK_30d_01,USA-HIK,30d,USA-HIK_30d,0,0,0,0,0,10,0,0,0,0,1,1,0,3,0,25,0,0,2,0,0,1,0,57,0
2021_USA-HIK_30d_02,USA-HIK,30d,USA-HIK_30d,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,16,0,49,0
2021_USA-HIK_30d_04,USA-HIK,30d,USA-HIK_30d,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,36,0,0,1,1,0,3,0,55,0
2021_USA-HIK_30d_05,USA-HIK,30d,USA-HIK_30d,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,30,0,0,3,0,0,11,0,52,0
2021_USA-HIK_30d_06,USA-HIK,30d,USA-HIK_30d,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,40,0,0,1,0,0,3,0,47,2
2021_USA-HIK_60d_07,USA-HIK,60d,USA-HIK_60d,0,0,0,5,0,5,0,0,0,0,0,0,7,0,0,2,0,0,6,1,0,74,0,0,0
2021_USA-HIK_60d_08,USA-HIK,60d,USA-HIK_60d,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,59,0,0,11,0,0,21,0,3,0
2021_USA-HIK_60d_09,USA-HIK,60d,USA-HIK_60d,0,0,0,4,0,1,0,0,0,0,0,0,0,31,0,40,0,0,1,0,0,18,0,5,0
2021_USA-HIK_60d_10,USA-HIK,60d,USA-HIK_60d,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,73,0,0,2,1,0,11,0,1,0
2021_USA-HIK_60d_11,USA-HIK,60d,USA-HIK_60d,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,67,0,0,1,0,0,7,0,14,0
2021_USA-HIK_60d_12,USA-HIK,60d,USA-HIK_60d,0,0,0,3,0,27,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,48,0,5,6
2021_USA-HIK_90d_13,USA-HIK,90d,USA-HIK_90d,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,26,0,2,6
2021_USA-HIK_90d_14,USA-HIK,90d,USA-HIK_90d,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,37,0,0,2,0,0,27,0,3,8
2021_USA-HIK_90d_15,USA-HIK,90d,USA-HIK_90d,0,0,0,0,0,16,0,0,0,0,0,0,0,15,0,37,0,0,0,1,0,23,0,3,5
2021_USA-HIK_90d_16,USA-HIK,90d,USA-HIK_90d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,15,0,6,1
2021_USA-HIK_90d_17,USA-HIK,90d,USA-HIK_90d,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,58,0,0,1,1,0,30,0,0,3
2021_USA-HIK_90d_18,USA-HIK,90d,USA-HIK_90d,0,0,0,0,3,11,0,0,0,0,0,0,0,4,0,53,0,0,0,0,0,8,0,13,8
2021_USA-IRL_30d_01,USA-IRL,30d,USA-IRL_30d,0,0,0,0,0,10,4,0,2,0,0,3,1,76,0,0,0,0,2,1,1,0,0,0,0
2021_USA-IRL_30d_02,USA-IRL,30d,USA-IRL_30d,0,0,0,0,0,4,16,0,0,0,2,5,1,66,0,0,0,0,6,0,0,0,0,0,0
2021_USA-IRL_30d_03,USA-IRL,30d,USA-IRL_30d,0,0,0,0,0,1,7,0,2,0,0,11,1,60,0,0,0,0,4,0,2,1,0,11,0
2021_USA-IRL_30d_04,USA-IRL,30d,USA-IRL_30d,0,0,0,0,0,1,10,0,6,0,1,26,3,26,0,1,0,0,8,0,0,1,0,16,1
2021_USA-IRL_30d_05,USA-IRL,30d,USA-IRL_30d,0,0,0,0,0,3,16,0,0,0,0,6,2,67,0,0,0,0,2,0,1,0,0,3,0
2021_USA-IRL_30d_06,USA-IRL,30d,USA-IRL_30d,0,0,0,0,0,9,15,0,0,0,0,9,1,56,0,0,0,0,8,0,0,0,0,2,0
2021_USA-IRL_60d_07,USA-IRL,60d,USA-IRL_60d,0,0,0,0,0,1,19,0,0,0,2,19,5,45,0,0,0,0,8,0,0,0,0,1,0
2021_USA-IRL_60d_08,USA-IRL,60d,USA-IRL_60d,0,0,0,0,0,0,23,0,2,0,0,3,0,48,0,0,0,0,23,0,0,0,0,1,0
2021_USA-IRL_60d_09,USA-IRL,60d,USA-IRL_60d,0,0,0,0,0,2,41,0,0,0,0,4,4,31,0,0,0,0,18,0,0,0,0,0,0
2021_USA-IRL_60d_10,USA-IRL,60d,USA-IRL_60d,0,0,0,0,0,0,33,4,0,0,0,5,2,36,0,0,0,0,18,0,0,2,0,0,0
2021_USA-IRL_60d_11,USA-IRL,60d,USA-IRL_60d,0,0,0,0,0,2,45,0,1,0,0,9,8,28,0,0,0,0,7,0,0,0,0,0,0
2021_USA-IRL_60d_12,USA-IRL,60d,USA-IRL_60d,0,0,0,0,0,2,48,0,2,0,0,2,0,42,0,0,0,0,2,0,0,1,0,1,0
2021_USA-IRL_90d_13,USA-IRL,90d,USA-IRL_90d,0,0,0,0,0,0,43,0,0,0,0,1,4,35,0,0,0,0,17,0,0,0,0,0,0
2021_USA-IRL_90d_14,USA-IRL,90d,USA-IRL_90d,0,0,0,0,0,3,34,0,0,0,0,2,3,54,0,0,0,0,4,0,0,0,0,0,0
2021_USA-IRL_90d_15,USA-IRL,90d,USA-IRL_90d,0,0,0,0,0,1,59,0,0,0,0,3,0,20,0,0,0,0,17,0,0,0,0,0,0
2021_USA-IRL_90d_16,USA-IRL,90d,USA-IRL_90d,0,0,0,0,0,0,30,0,0,0,0,14,0,49,0,0,0,0,5,0,0,0,0,2,0
2021_USA-IRL_90d_17,USA-IRL,90d,USA-IRL_90d,0,0,0,0,0,0,38,0,0,0,0,1,4,32,0,4,0,0,12,0,0,9,0,0,0
2021_USA-IRL_90d_18,USA-IRL,90d,USA-IRL_90d,0,0,0,0,0,1,19,0,1,0,0,20,4,30,0,5,0,0,13,0,0,3,0,4,0
2021_USA-LIS_30d_01,USA-LIS,30d,USA-LIS_30d,0,0,0,0,0,34,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,63,0
2021_USA-LIS_30d_02,USA-LIS,30d,USA-LIS_30d,0,0,0,0,0,59,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,33,0
2021_USA-LIS_30d_03,USA-LIS,30d,USA-LIS_30d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10
2021_USA-LIS_30d_04,USA-LIS,30d,USA-LIS_30d,0,0,0,0,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,45,0
2021_USA-LIS_30d_05,USA-LIS,30d,USA-LIS_30d,0,0,0,0,0,42,6,0,0,0,0,2,0,11,0,0,0,0,0,3,0,0,0,33,3
2021_USA-LIS_30d_06,USA-LIS,30d,USA-LIS_30d,0,0,0,0,0,29,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,53,10
2021_USA-LIS_60d_07,USA-LIS,60d,USA-LIS_60d,0,0,0,0,0,47,0,0,0,4,0,5,0,0,0,0,0,0,0,13,0,0,0,31,0
2021_USA-LIS_60d_08,USA-LIS,60d,USA-LIS_60d,0,0,0,0,0,19,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,72,0
2021_USA-LIS_60d_09,USA-LIS,60d,USA-LIS_60d,0,0,0,0,0,10,2,0,0,0,0,13,1,0,0,0,0,0,0,2,0,0,0,72,0
2021_USA-LIS_60d_10,USA-LIS,60d,USA-LIS_60d,0,0,0,0,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,65,0
2021_USA-LIS_60d_11,USA-LIS,60d,USA-LIS_60d,0,0,0,0,0,25,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,64,0
2021_USA-LIS_60d_12,USA-LIS,60d,USA-LIS_60d,0,0,0,0,0,18,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,67,0
2021_USA-LIS_90d_13,USA-LIS,90d,USA-LIS_90d,0,0,0,0,0,23,6,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,55,0
2021_USA-LIS_90d_14,USA-LIS,90d,USA-LIS_90d,0,0,0,0,0,1,0,0,0,8,0,28,0,0,0,0,0,0,0,18,0,0,0,45,0
